rows_returned,queries_with_project_columns,project_col_time,queries_with_all_star,all_star_time,queries_with_table_star,avg_table_star_time
231,53,2711183.6517,148,4811883.5970,0,0.0000
232,655,1801047.4842,551,3813254.9552,0,0.0000
233,42,1345920.0431,74,5934637.1034,0,0.0000
234,1335,1698462.2772,1136,3833898.9344,0,0.0000
235,173,818767.8645,469,4732181.4486,0,0.0000
236,241,1854109.7295,210,3751865.2528,0,0.0000
237,43,2848608.6471,76,5863976.6639,0,0.0000
238,28,8226638.8214,0,0.0000,0,0.0000
239,36,8652572.2778,0,0.0000,0,0.0000
240,40,3708997.7593,14,7121850.9259,0,0.0000
241,30,17694890.2553,17,13066833.9574,0,0.0000
242,38,11184916.9531,26,9594259.9531,0,0.0000
243,30,5142848.8000,0,0.0000,0,0.0000
244,36,10362715.6389,0,0.0000,0,0.0000
245,37,10232462.3953,6,1759012.8837,0,0.0000
246,53,6381660.3867,22,8685741.6133,0,0.0000
247,47,15564668.7234,0,0.0000,0,0.0000
248,39,10275515.2553,8,2896919.2979,0,0.0000
249,36,10654657.6949,23,3436538.4068,0,0.0000
250,98,8447016.2605,21,2223061.9412,0,0.0000
251,19,11435322.3333,8,23294440.5926,0,0.0000
252,59,5702372.9341,32,13427727.7692,0,0.0000
253,29,4947506.9667,31,19232894.9500,0,0.0000
254,24,6571725.5526,14,18560282.2895,0,0.0000
255,44,6815885.3878,5,8807700.8571,0,0.0000
256,29,13432949.0811,8,24427146.6757,0,0.0000
257,48,14235446.9600,2,5653445.8400,0,0.0000
258,58,5410981.1096,15,8034922.1918,0,0.0000
259,58,3557630.4000,57,42546443.9478,0,0.0000
260,33,4080921.4000,22,136787057.7273,0,0.0000
261,419,4319517.0400,6,1581992.7671,0,0.0000
262,82,10330239.9405,2,4059908.8452,0,0.0000
263,45,8896017.1176,6,25450651.5098,0,0.0000
264,21,1916006.9333,24,194100612.1778,0,0.0000
265,15,1389396.0851,32,349270535.2979,0,0.0000
266,24,9646057.7308,2,13777161.5000,0,0.0000
267,11,9997311.7692,2,25100028.0769,0,0.0000
268,214,7045244.4574,9,22790259.9372,0,0.0000
269,30,6761438.8438,2,14844402.6563,0,0.0000
270,46,7137569.5417,2,12178908.4167,0,0.0000
271,31,4417595.9773,13,53815843.8864,0,0.0000
272,41,1504187.9184,57,69723238.3469,0,0.0000
273,26,10669994.5862,3,12700032.3448,0,0.0000
274,135,2412711.4667,0,0.0000,0,0.0000
275,40,11732699.1500,0,0.0000,0,0.0000
276,43,9595061.6977,0,0.0000,0,0.0000
277,18,24245054.7895,1,1405287.8421,0,0.0000
278,50,8529338.5600,0,0.0000,0,0.0000
279,84,9841627.8046,3,705452.5862,0,0.0000
280,42,7871701.2857,0,0.0000,0,0.0000
281,24,11897625.9167,0,0.0000,0,0.0000
282,67,7389432.9104,0,0.0000,0,0.0000
283,38,15944120.1316,0,0.0000,0,0.0000
284,22,11744493.2727,0,0.0000,0,0.0000
285,77,6925023.0000,0,0.0000,0,0.0000
286,47,6353233.6596,0,0.0000,0,0.0000
287,103,7411367.2330,0,0.0000,0,0.0000
288,91,8497343.5055,0,0.0000,0,0.0000
289,22,28393603.1818,0,0.0000,0,0.0000
290,1072,21179021.7397,0,0.0000,0,0.0000
291,28,13624304.3929,0,0.0000,0,0.0000
292,69,11429743.1304,0,0.0000,0,0.0000
293,114,9604059.7456,0,0.0000,0,0.0000
294,55,10033732.5263,2,145135.2632,0,0.0000
295,61,13944077.0820,0,0.0000,0,0.0000
296,126,9306382.6508,0,0.0000,0,0.0000
297,61,9892129.5161,1,20739.2419,0,0.0000
298,27,11976720.6296,0,0.0000,0,0.0000
299,29,7015145.4483,0,0.0000,0,0.0000
300,46,7995535.5870,0,0.0000,0,0.0000
301,276,10777611.3297,0,0.0000,0,0.0000
302,21,7537210.0000,0,0.0000,0,0.0000
303,38,30518373.0789,0,0.0000,0,0.0000
304,21,9932110.7619,0,0.0000,0,0.0000
305,15,7698437.4000,0,0.0000,0,0.0000
306,95,11691765.1684,0,0.0000,0,0.0000
307,140,14833006.3286,0,0.0000,0,0.0000
308,87,10771624.8462,4,40671.9451,0,0.0000
309,65,9880314.2500,23,1497961.0795,0,0.0000
310,37,25556798.9730,0,0.0000,0,0.0000
311,36,13010950.6111,0,0.0000,0,0.0000
312,49,10509111.3469,0,0.0000,0,0.0000
313,29,8577963.4483,0,0.0000,0,0.0000
314,46,4014433.3187,45,943667.0000,0,0.0000
315,122,7901128.6803,0,0.0000,0,0.0000
316,91,10884351.5824,0,0.0000,0,0.0000
317,82,14230013.3049,0,0.0000,0,0.0000
318,36,15172074.6389,0,0.0000,0,0.0000
319,24,12950970.0417,0,0.0000,0,0.0000
320,22,15713179.5909,0,0.0000,0,0.0000
321,16,18257011.9375,0,0.0000,0,0.0000
322,36,15903447.6389,0,0.0000,0,0.0000
323,66,13156443.9848,0,0.0000,0,0.0000
324,35,14666114.6000,0,0.0000,0,0.0000
325,20,18803937.4000,0,0.0000,0,0.0000
326,115,12585237.9565,0,0.0000,0,0.0000
327,156,14610905.4103,0,0.0000,0,0.0000
328,232,21730842.3879,0,0.0000,0,0.0000
329,32,17428955.0625,0,0.0000,0,0.0000
330,29,12131093.7297,8,369087.7568,0,0.0000
331,112,11330864.0089,0,0.0000,0,0.0000
332,56,11405669.6429,0,0.0000,0,0.0000
333,34,16432216.5294,0,0.0000,0,0.0000
334,24,18750364.5417,0,0.0000,0,0.0000
335,26,13379132.1515,7,546440.9697,0,0.0000
336,45,9598306.0952,18,561207.8254,0,0.0000
337,26,12565173.2558,17,824972.1395,0,0.0000
338,29,17527158.8621,0,0.0000,0,0.0000
339,83,30050327.6455,27,540569.6000,0,0.0000
340,27,16030264.6296,0,0.0000,0,0.0000
341,18,20135074.8205,21,1703696.5897,0,0.0000
342,113,4900176.1043,2,30668.4870,0,0.0000
343,40,9647493.4250,0,0.0000,0,0.0000
344,326,5678331.1718,0,0.0000,0,0.0000
345,40,14220858.9836,21,724349.3770,0,0.0000
346,239,21785749.0823,4,24262.6831,0,0.0000
347,16,20088157.6250,0,0.0000,0,0.0000
348,94,7343995.9468,0,0.0000,0,0.0000
349,194,12857137.7423,0,0.0000,0,0.0000
350,121,4092518.4029,286,8473890.0737,0,0.0000
351,276,10465591.1232,0,0.0000,0,0.0000
352,21,23164228.9524,0,0.0000,0,0.0000
353,204,11929589.0686,0,0.0000,0,0.0000
354,16,11030163.0000,0,0.0000,0,0.0000
355,32,10308790.6875,0,0.0000,0,0.0000
356,32,8316419.2500,0,0.0000,0,0.0000
357,39,16962783.0513,0,0.0000,0,0.0000
358,42,19724367.6429,0,0.0000,0,0.0000
359,40,6695057.7000,0,0.0000,0,0.0000
360,40,15495268.2500,0,0.0000,0,0.0000
361,31,6107799.1613,0,0.0000,0,0.0000
362,33,17724177.6667,0,0.0000,0,0.0000
363,34,9671550.1176,0,0.0000,0,0.0000
364,47,19446353.1064,0,0.0000,0,0.0000
365,33,15937845.4545,0,0.0000,0,0.0000
366,28,14989289.4286,0,0.0000,0,0.0000
367,21,821015.4149,461,19033287.3257,0,0.0000
368,38,8010386.5778,7,253246.5333,0,0.0000
369,38,8766828.6071,18,698064.5000,0,0.0000
370,46,7047417.7763,30,1125781.9342,0,0.0000
371,42,8504092.0714,0,0.0000,0,0.0000
372,34,8312583.4000,1,138358.6286,0,0.0000
373,82,1814030.0435,401,10064466.9896,0,0.0000
374,79,12811311.1375,1,42259.1125,0,0.0000
375,74,9880407.9865,0,0.0000,0,0.0000
376,51,6950903.6667,0,0.0000,0,0.0000
377,44,5261102.1136,0,0.0000,0,0.0000
378,47,6435392.3404,0,0.0000,0,0.0000
379,36,9987177.4722,0,0.0000,0,0.0000
380,129,2089991.3460,82,5634213.4834,0,0.0000
381,15,14447659.8000,0,0.0000,0,0.0000
382,35,5900062.4571,0,0.0000,0,0.0000
383,41,9983733.5610,0,0.0000,0,0.0000
384,75,13128741.8571,2,116642.3117,0,0.0000
385,71,12017875.5211,0,0.0000,0,0.0000
386,72,3264198.6205,94,5069839.2349,0,0.0000
387,39,10121567.7692,0,0.0000,0,0.0000
388,39,7066551.8205,0,0.0000,0,0.0000
389,47,9164082.2979,0,0.0000,0,0.0000
390,68,20710677.0147,0,0.0000,0,0.0000
391,86,5098498.6047,0,0.0000,0,0.0000
392,55,5581063.5636,0,0.0000,0,0.0000
393,64,10215254.6406,0,0.0000,0,0.0000
394,35,18860879.3143,0,0.0000,0,0.0000
395,35,7017422.4857,0,0.0000,0,0.0000
396,69,26782194.3043,0,0.0000,0,0.0000
397,61,7785041.7869,0,0.0000,0,0.0000
398,84,16951700.7262,0,0.0000,0,0.0000
399,43,7922682.6977,0,0.0000,0,0.0000
400,128,58314560.1161,27,919784.6323,0,0.0000
401,35,15848235.1143,0,0.0000,0,0.0000
402,46,6510959.0435,0,0.0000,0,0.0000
403,38,12662748.1316,0,0.0000,0,0.0000
404,22,8415575.0000,0,0.0000,0,0.0000
405,101,18222243.7030,0,0.0000,0,0.0000
406,19,18406875.3000,1,93666.7000,0,0.0000
407,15,8767097.4667,0,0.0000,0,0.0000
408,43,8260581.4419,0,0.0000,0,0.0000
409,24,20004609.5833,0,0.0000,0,0.0000
410,25,12978331.2000,0,0.0000,0,0.0000
411,39,28102672.2564,0,0.0000,0,0.0000
412,21,11832470.2857,0,0.0000,0,0.0000
413,19,16005222.0526,0,0.0000,0,0.0000
414,30,9833814.0968,1,144556.4194,0,0.0000
415,22,13941891.5909,0,0.0000,0,0.0000
416,29,5143653.1034,0,0.0000,0,0.0000
417,26,9763154.9615,0,0.0000,0,0.0000
418,13,5665264.4615,0,0.0000,0,0.0000
419,18,5809615.1667,0,0.0000,0,0.0000
420,24,11072749.6250,0,0.0000,0,0.0000
421,11,3665564.1667,1,856679.7500,0,0.0000
422,11,6935435.1818,0,0.0000,0,0.0000
423,26,16753301.1923,0,0.0000,0,0.0000
424,22,14310468.7727,0,0.0000,0,0.0000
425,42,6145318.6905,0,0.0000,0,0.0000
426,538,15558610.6524,0,0.0000,0,0.0000
427,32,23516363.9688,0,0.0000,0,0.0000
428,13,5576021.6154,0,0.0000,0,0.0000
429,22,12638615.1818,0,0.0000,0,0.0000
430,10,7345885.4000,0,0.0000,0,0.0000
431,16,15891386.7500,0,0.0000,0,0.0000
432,37,14907175.0000,0,0.0000,0,0.0000
433,23,25082776.2609,0,0.0000,0,0.0000
434,7,18307916.5714,0,0.0000,0,0.0000
435,4,5943086.0000,0,0.0000,0,0.0000
436,81,10254685.0370,0,0.0000,0,0.0000
437,69,38408568.7536,0,0.0000,0,0.0000
438,11,6315222.4545,0,0.0000,0,0.0000
439,9,7718854.2222,0,0.0000,0,0.0000
440,11,4318570.0909,0,0.0000,0,0.0000
441,9,5726302.1111,0,0.0000,0,0.0000
442,7,7117365.8571,0,0.0000,0,0.0000
443,11,9858934.2727,0,0.0000,0,0.0000
444,15,6837885.4000,0,0.0000,0,0.0000
445,14,5294170.2000,1,193468.8000,0,0.0000
446,8,5397551.9000,2,896145.9000,0,0.0000
447,6,19258660.8571,1,453884.0000,0,0.0000
448,9,5643893.0833,3,1656662.5000,0,0.0000
449,14,16908371.6000,1,191138.8667,0,0.0000
450,18,12354568.3810,3,478960.8571,0,0.0000
451,9,16786104.1000,1,845359.4000,0,0.0000
452,6,8350297.8571,1,393876.5714,0,0.0000
453,4,4741718.7500,0,0.0000,0,0.0000
454,10,21837069.0909,1,328934.7273,0,0.0000
455,10,17871939.1538,3,724142.5385,0,0.0000
456,8,6625017.4444,1,317326.3333,0,0.0000
457,23,22701786.0417,1,223648.0417,0,0.0000
458,39,33623722.7250,1,71895.8250,0,0.0000
459,34,26758382.4571,1,81330.3429,0,0.0000
460,48,15165688.6531,1,59427.1020,0,0.0000
461,24,24428662.6000,1,116997.8800,0,0.0000
462,30,19487362.1290,1,95252.0323,0,0.0000
463,58,26295399.8814,1,87115.1017,0,0.0000
464,23,20605811.5417,1,164581.1667,0,0.0000
465,17,48480494.9000,3,463942.6500,0,0.0000
466,22,22455335.3043,1,118233.6957,0,0.0000
467,24,29422324.8800,1,135239.6000,0,0.0000
468,33,39969916.3636,0,0.0000,0,0.0000
469,12,19349574.6667,0,0.0000,0,0.0000
470,13,8104327.0000,0,0.0000,0,0.0000
471,9,10299930.6667,0,0.0000,0,0.0000
472,14,12117890.4286,0,0.0000,0,0.0000
473,14,27885595.4286,0,0.0000,0,0.0000
474,13,30303902.3846,0,0.0000,0,0.0000
475,6,7759843.5000,0,0.0000,0,0.0000
476,10,16385682.5000,0,0.0000,0,0.0000
477,13,10180112.1538,0,0.0000,0,0.0000
478,15,85863017.0667,0,0.0000,0,0.0000
479,5,35052135.4000,0,0.0000,0,0.0000
480,15,18177930.6000,0,0.0000,0,0.0000
481,11,28727348.5455,0,0.0000,0,0.0000
482,14,17012202.3571,0,0.0000,0,0.0000
483,6,8237378.6667,0,0.0000,0,0.0000
484,16,20831575.5000,0,0.0000,0,0.0000
485,11,19995061.4545,0,0.0000,0,0.0000
486,17,23946017.2353,0,0.0000,0,0.0000
487,16,46221311.9375,0,0.0000,0,0.0000
488,15,15791767.4000,0,0.0000,0,0.0000
489,29,11423311.6207,0,0.0000,0,0.0000
490,23,30495330.6087,0,0.0000,0,0.0000
491,31,55639638.9032,0,0.0000,0,0.0000
492,38,19638416.9737,0,0.0000,0,0.0000
493,707,8547004.2857,0,0.0000,0,0.0000
494,641,7485437.4680,0,0.0000,0,0.0000
495,137,133098983.0438,0,0.0000,0,0.0000
496,70,18110971.6429,0,0.0000,0,0.0000
497,29,13860829.8966,0,0.0000,0,0.0000
498,39,7450556.8718,0,0.0000,0,0.0000
499,23,15468813.4348,0,0.0000,0,0.0000
500,15335,126143557.3472,0,0.0000,0,0.0000
501,23,25866438.1304,0,0.0000,0,0.0000
502,9,5843923.8889,0,0.0000,0,0.0000
503,6,15607283.0000,0,0.0000,0,0.0000
504,11,9541396.6364,0,0.0000,0,0.0000
505,10,16537869.9000,0,0.0000,0,0.0000
506,22,10587464.5000,0,0.0000,0,0.0000
507,11,15448769.2727,0,0.0000,0,0.0000
508,7,8715580.4286,0,0.0000,0,0.0000
509,13,15821225.7692,0,0.0000,0,0.0000
510,55,8132343.8182,0,0.0000,0,0.0000
511,17,7917680.8421,2,580586.6316,0,0.0000
512,8080,10007934.3655,2,4917.5187,0,0.0000
513,7,6902935.6364,4,3018920.5455,0,0.0000
514,20,9245450.4000,0,0.0000,0,0.0000
515,52,20844216.7500,0,0.0000,0,0.0000
516,54,6468857.6897,4,241139.5345,0,0.0000
517,29,8979428.3548,2,231423.0323,0,0.0000
518,14,3341738.2083,10,1447261.3750,0,0.0000
519,39,9939441.8205,0,0.0000,0,0.0000
520,62,4329941.2097,0,0.0000,0,0.0000
521,5,15847083.0000,0,0.0000,0,0.0000
522,20,23054614.3000,0,0.0000,0,0.0000
523,9,20269392.2222,0,0.0000,0,0.0000
524,3,10695.8629,1295,3343397.4122,0,0.0000
525,10,10155425.3333,2,797877.7500,0,0.0000
526,21,18702686.0000,0,0.0000,0,0.0000
527,8,13200547.2500,0,0.0000,0,0.0000
528,23,6794626.4783,0,0.0000,0,0.0000
529,19,12448192.0000,2,470716.7619,0,0.0000
530,23,15996716.4783,0,0.0000,0,0.0000
531,56,9691772.4776,11,373266.4776,0,0.0000
532,32,9670795.8125,0,0.0000,0,0.0000
533,60,25514940.1667,0,0.0000,0,0.0000
