rows_range,queries_with_project_columns,project_col_time,queries_with_all_star,all_star_time,queries_with_table_star,avg_table_star_time
120,106,25583660.5566,0,0.0000,0,0.0000
121,27,32181402.4074,0,0.0000,0,0.0000
122,408,57088542.4044,0,0.0000,0,0.0000
123,11,9855078.0833,1,905785.5833,0,0.0000
124,16,126740312.8125,0,0.0000,0,0.0000
125,121,41779076.7686,0,0.0000,0,0.0000
126,120,91551621.8667,0,0.0000,0,0.0000
127,1692,72956145.7943,0,0.0000,0,0.0000
128,11,11516079.6364,0,0.0000,0,0.0000
129,8,26752089.5000,0,0.0000,0,0.0000
130,107,28618033.2243,0,0.0000,0,0.0000
131,18,122028044.1667,0,0.0000,0,0.0000
132,8,325053710.6250,0,0.0000,0,0.0000
133,3,11146944.3333,0,0.0000,0,0.0000
134,8,14951801.3750,0,0.0000,0,0.0000
135,9,21516261.5556,0,0.0000,0,0.0000
136,7,12021458.5714,0,0.0000,0,0.0000
137,10,10394688.0000,0,0.0000,0,0.0000
138,4,19269921.7500,0,0.0000,0,0.0000
139,1,10720052.0000,0,0.0000,0,0.0000
140,2,12417447.5000,0,0.0000,0,0.0000
141,14,101864069.9286,0,0.0000,0,0.0000
142,6,25954401.0000,0,0.0000,0,0.0000
143,10,16385599.0000,0,0.0000,0,0.0000
144,3,120941927.0000,1,2213789.0000,0,0.0000
145,62,41341137.8710,0,0.0000,0,0.0000
146,179,50439401.2737,0,0.0000,0,0.0000
147,54,49557072.0926,0,0.0000,0,0.0000
148,9,38530937.4444,0,0.0000,0,0.0000
149,2,16445755.5000,0,0.0000,0,0.0000
150,3,11649531.3333,0,0.0000,0,0.0000
151,20,92671177.2000,0,0.0000,0,0.0000
152,10,21550619.4000,0,0.0000,0,0.0000
153,6,24470438.8571,1,603653.1429,0,0.0000
154,803,24141843.0747,0,0.0000,0,0.0000
155,5,207406010.4000,0,0.0000,0,0.0000
156,7,20550037.4286,0,0.0000,0,0.0000
157,2,7648411.5000,0,0.0000,0,0.0000
158,7,34698527.0000,0,0.0000,0,0.0000
159,8,143671575.5000,0,0.0000,0,0.0000
160,9,21917037.1111,0,0.0000,0,0.0000
161,15,125334384.8750,1,280582.6875,0,0.0000
162,6,12303211.8333,0,0.0000,0,0.0000
163,3,8051753.3333,0,0.0000,0,0.0000
164,12,31541280.5000,0,0.0000,0,0.0000
165,4,11843190.2500,0,0.0000,0,0.0000
166,10,33988994.8000,0,0.0000,0,0.0000
167,9,9380631.0000,0,0.0000,0,0.0000
168,11,141351879.8182,0,0.0000,0,0.0000
169,18,12132314.5556,0,0.0000,0,0.0000
170,11,146177400.4545,0,0.0000,0,0.0000
171,11,29915710.6364,0,0.0000,0,0.0000
172,17,92661133.7059,0,0.0000,0,0.0000
173,5,11640125.2000,0,0.0000,0,0.0000
174,6,10022788.6667,0,0.0000,0,0.0000
175,7,187651294.7143,0,0.0000,0,0.0000
176,14,40900688.1429,0,0.0000,0,0.0000
177,6,15878489.3333,0,0.0000,0,0.0000
178,71,35461060.0423,0,0.0000,0,0.0000
179,14,68499032.6429,0,0.0000,0,0.0000
180,9,38760665.5556,0,0.0000,0,0.0000
181,18,36613544.5000,0,0.0000,0,0.0000
182,8,14285482.0000,0,0.0000,0,0.0000
183,15,322885805.7333,0,0.0000,0,0.0000
184,132,69161589.6970,0,0.0000,0,0.0000
185,17,34705229.6471,0,0.0000,0,0.0000
186,115,27190741.3652,0,0.0000,0,0.0000
187,38,23876022.4737,0,0.0000,0,0.0000
188,6,17368559.0000,0,0.0000,0,0.0000
189,17,24729571.2353,0,0.0000,0,0.0000
190,7,10880394.2857,0,0.0000,0,0.0000
191,9,36783652.0000,0,0.0000,0,0.0000
192,11,160085861.8182,0,0.0000,0,0.0000
193,16,10375787.8125,0,0.0000,0,0.0000
194,15,13965405.0000,0,0.0000,0,0.0000
195,20,24717791.7000,0,0.0000,0,0.0000
196,10,58194401.1000,0,0.0000,0,0.0000
197,12,10927069.8333,0,0.0000,0,0.0000
198,14,10151119.5714,0,0.0000,0,0.0000
199,9,11950625.0000,0,0.0000,0,0.0000
200,106,41004977.3208,0,0.0000,0,0.0000
201,28,40560249.1786,0,0.0000,0,0.0000
202,14,37600710.3571,0,0.0000,0,0.0000
203,7,14530937.5714,0,0.0000,0,0.0000
204,6,12174106.0000,0,0.0000,0,0.0000
205,195,30059082.7897,0,0.0000,0,0.0000
206,6,19092352.3333,0,0.0000,0,0.0000
207,20,21623087.1500,0,0.0000,0,0.0000
208,10,13129896.1000,0,0.0000,0,0.0000
209,15,52114600.4667,0,0.0000,0,0.0000
210,6,9890920.1667,0,0.0000,0,0.0000
211,16,165034094.9375,0,0.0000,0,0.0000
212,13,14705562.0000,0,0.0000,0,0.0000
213,17,17555064.7059,0,0.0000,0,0.0000
214,8,12756315.1250,0,0.0000,0,0.0000
215,19,29128793.6316,0,0.0000,0,0.0000
216,15,10603527.6667,0,0.0000,0,0.0000
217,15,16738145.8000,0,0.0000,0,0.0000
218,14,14611253.5714,0,0.0000,0,0.0000
219,13,56949738.8462,0,0.0000,0,0.0000
220,14,11246967.2857,0,0.0000,0,0.0000
221,13,207718541.5385,0,0.0000,0,0.0000
222,11,73289762.8182,0,0.0000,0,0.0000
223,18,26049351.0556,0,0.0000,0,0.0000
224,14,13627218.9286,0,0.0000,0,0.0000
225,13,13277329.6923,0,0.0000,0,0.0000
226,14,14273270.0000,0,0.0000,0,0.0000
227,15,34755934.3333,0,0.0000,0,0.0000
228,11,13475568.2727,0,0.0000,0,0.0000
229,18,35224855.3889,0,0.0000,0,0.0000
230,14,15013355.5714,0,0.0000,0,0.0000
231,23,105824094.8261,0,0.0000,0,0.0000
232,12,15398033.6667,0,0.0000,0,0.0000
233,53,22045050.3396,0,0.0000,0,0.0000
234,22,12210241.5455,0,0.0000,0,0.0000
235,16,17197678.9375,0,0.0000,0,0.0000
236,18,48198486.2778,0,0.0000,0,0.0000
237,41,18878235.7561,0,0.0000,0,0.0000
238,13,16540080.1538,0,0.0000,0,0.0000
239,14,39792183.7857,0,0.0000,0,0.0000
240,16,15717711.6875,0,0.0000,0,0.0000
241,37,60360772.7297,0,0.0000,0,0.0000
242,9,19755495.3333,0,0.0000,0,0.0000
243,11,12287362.7273,0,0.0000,0,0.0000
244,19,32313663.1053,0,0.0000,0,0.0000
245,33,60116811.9091,0,0.0000,0,0.0000
246,15,15459295.8000,0,0.0000,0,0.0000
247,13,38222696.3846,0,0.0000,0,0.0000
248,16,27597549.9375,0,0.0000,0,0.0000
249,11,44339420.4545,0,0.0000,0,0.0000
250,11,120827258.8182,0,0.0000,0,0.0000
251,17,105308768.3529,0,0.0000,0,0.0000
252,19,37595548.1579,0,0.0000,0,0.0000
253,11,13304588.8182,0,0.0000,0,0.0000
254,20,18749421.8000,0,0.0000,0,0.0000
255,26,87705199.9231,0,0.0000,0,0.0000
256,13,19007892.7692,0,0.0000,0,0.0000
257,14,17978132.2143,0,0.0000,0,0.0000
258,11,63186439.1818,0,0.0000,0,0.0000
259,11,18792680.0000,0,0.0000,0,0.0000
260,19,72048859.6316,0,0.0000,0,0.0000
261,18,45393113.1667,0,0.0000,0,0.0000
262,44,47437135.6364,0,0.0000,0,0.0000
263,137,68615657.5620,0,0.0000,0,0.0000
264,78,64702522.6923,0,0.0000,0,0.0000
265,23,149548476.8696,0,0.0000,0,0.0000
266,28,35644549.9643,0,0.0000,0,0.0000
267,5,25129916.8000,0,0.0000,0,0.0000
268,11,52775359.7273,0,0.0000,0,0.0000
269,16,407077665.1875,0,0.0000,0,0.0000
270,7,102066383.8571,0,0.0000,0,0.0000
271,14,44670487.3571,0,0.0000,0,0.0000
272,11,20768290.6364,0,0.0000,0,0.0000
273,10,75581697.8000,0,0.0000,0,0.0000
274,4,18059205.7500,0,0.0000,0,0.0000
275,5,13811697.6000,0,0.0000,0,0.0000
276,10,78223993.3000,0,0.0000,0,0.0000
277,8,24471523.2500,0,0.0000,0,0.0000
278,6,78007239.3333,0,0.0000,0,0.0000
279,9718,4249624.8257,0,0.0000,0,0.0000
280,2040,3994882.5716,0,0.0000,0,0.0000
281,1,25915521.0000,0,0.0000,0,0.0000
282,1,10794636.0000,0,0.0000,0,0.0000
283,3,47152499.6667,0,0.0000,0,0.0000
284,6,33278385.3333,0,0.0000,0,0.0000
285,7,64641019.4286,0,0.0000,0,0.0000
286,4,635892252.5000,0,0.0000,0,0.0000
287,8,20645676.8750,0,0.0000,0,0.0000
288,4,85157578.0000,0,0.0000,0,0.0000
289,2,29858853.5000,0,0.0000,0,0.0000
290,3,39182361.0000,0,0.0000,0,0.0000
291,6,98872528.0000,0,0.0000,0,0.0000
293,3,21671302.0000,0,0.0000,0,0.0000
294,4,23577969.0000,0,0.0000,0,0.0000
295,2,23033125.0000,0,0.0000,0,0.0000
297,7,97791889.8571,0,0.0000,0,0.0000
298,3,790710121.6667,0,0.0000,0,0.0000
299,3,11928889.0000,0,0.0000,0,0.0000
300,9,355500375.8889,0,0.0000,0,0.0000
301,3,19603628.3333,0,0.0000,0,0.0000
302,9,34767494.3333,0,0.0000,0,0.0000
303,11,285912145.0909,0,0.0000,0,0.0000
304,17,50922034.3529,0,0.0000,0,0.0000
305,2,18706171.5000,0,0.0000,0,0.0000
306,6,89176336.6667,0,0.0000,0,0.0000
307,7,107137872.1429,0,0.0000,0,0.0000
308,15,101212322.8000,0,0.0000,0,0.0000
310,5,24028687.4000,0,0.0000,0,0.0000
311,2,10034921.5000,0,0.0000,0,0.0000
312,6,531896649.1667,0,0.0000,0,0.0000
313,4,84328098.7500,0,0.0000,0,0.0000
314,17,211643195.2941,0,0.0000,0,0.0000
315,5,25975312.6000,0,0.0000,0,0.0000
316,3,122865833.0000,0,0.0000,0,0.0000
317,5,505307666.6000,0,0.0000,0,0.0000
318,2,13070781.5000,0,0.0000,0,0.0000
319,1,13218437.0000,0,0.0000,0,0.0000
320,2,508286797.0000,0,0.0000,0,0.0000
321,3,139407326.3333,0,0.0000,0,0.0000
322,4,140161508.0000,0,0.0000,0,0.0000
323,2,42590755.0000,0,0.0000,0,0.0000
324,2,17837005.0000,0,0.0000,0,0.0000
325,3,45374792.0000,0,0.0000,0,0.0000
326,2,11521536.5000,0,0.0000,0,0.0000
327,2,17648541.5000,0,0.0000,0,0.0000
328,2,25064531.5000,0,0.0000,0,0.0000
329,22,54348870.7273,0,0.0000,0,0.0000
330,9,153817089.1111,0,0.0000,0,0.0000
331,6,32905616.5000,0,0.0000,0,0.0000
332,6,121612743.5000,0,0.0000,0,0.0000
333,1,24623333.0000,0,0.0000,0,0.0000
334,9,78071232.3333,0,0.0000,0,0.0000
335,1,14088177.0000,0,0.0000,0,0.0000
336,7,106323445.1429,0,0.0000,0,0.0000
337,6,730626866.5000,0,0.0000,0,0.0000
338,2,1310769921.5000,0,0.0000,0,0.0000
340,1,21949479.0000,0,0.0000,0,0.0000
341,3,22190121.6667,0,0.0000,0,0.0000
342,6,106345277.6667,0,0.0000,0,0.0000
343,5,108919302.8000,0,0.0000,0,0.0000
344,2,31837500.0000,0,0.0000,0,0.0000
345,5,15272635.4000,0,0.0000,0,0.0000
346,4,25130950.5000,0,0.0000,0,0.0000
347,8,452915475.6250,0,0.0000,0,0.0000
348,8,389092239.6250,0,0.0000,0,0.0000
349,4,43579010.5000,0,0.0000,0,0.0000
350,2,22994817.5000,0,0.0000,0,0.0000
351,13,55794415.2308,0,0.0000,0,0.0000
352,7,47298020.8571,0,0.0000,0,0.0000
353,1,14190521.0000,0,0.0000,0,0.0000
354,4,147470989.7500,0,0.0000,0,0.0000
355,2,13121354.0000,0,0.0000,0,0.0000
356,6,103282291.6667,0,0.0000,0,0.0000
357,7,602725922.4286,0,0.0000,0,0.0000
358,8,949758086.0000,0,0.0000,0,0.0000
359,6,221594149.1667,0,0.0000,0,0.0000
360,3,18966858.0000,0,0.0000,0,0.0000
361,1,13796459.0000,0,0.0000,0,0.0000
362,2,54534766.0000,0,0.0000,0,0.0000
363,9,148154803.4444,0,0.0000,0,0.0000
364,6,32059583.1667,0,0.0000,0,0.0000
365,3,13036041.3333,0,0.0000,0,0.0000
366,5,33856289.0000,0,0.0000,0,0.0000
367,2,36910990.0000,0,0.0000,0,0.0000
368,9,896563778.6667,0,0.0000,0,0.0000
370,1,37532708.0000,0,0.0000,0,0.0000
371,1,15246719.0000,0,0.0000,0,0.0000
372,3,191633698.0000,0,0.0000,0,0.0000
373,4,28848333.7500,0,0.0000,0,0.0000
374,5,20269905.2000,0,0.0000,0,0.0000
375,2,26642760.0000,0,0.0000,0,0.0000
378,6,1568767422.5000,0,0.0000,0,0.0000
379,2,220369270.5000,0,0.0000,0,0.0000
380,3,30418698.0000,0,0.0000,0,0.0000
381,3,19152691.0000,0,0.0000,0,0.0000
382,7,146023928.7143,0,0.0000,0,0.0000
383,1,13500261.0000,0,0.0000,0,0.0000
384,5,38822458.2000,0,0.0000,0,0.0000
385,3,16403732.3333,0,0.0000,0,0.0000
386,5,23278718.4000,0,0.0000,0,0.0000
387,3,16279895.6667,0,0.0000,0,0.0000
388,7,610974628.0000,0,0.0000,0,0.0000
389,7,168931450.8571,0,0.0000,0,0.0000
390,1,27734063.0000,0,0.0000,0,0.0000
392,4,145250078.0000,0,0.0000,0,0.0000
394,2,14440495.0000,0,0.0000,0,0.0000
395,3,29288728.3333,0,0.0000,0,0.0000
396,4,16221680.0000,0,0.0000,0,0.0000
398,3,38749264.3333,0,0.0000,0,0.0000
399,9,825483802.4444,0,0.0000,0,0.0000
400,4,759967995.2500,0,0.0000,0,0.0000
402,6,135452404.6667,0,0.0000,0,0.0000
403,1,21694530.0000,0,0.0000,0,0.0000
405,2,16685781.5000,0,0.0000,0,0.0000
406,1,14758541.0000,0,0.0000,0,0.0000
407,4,25118528.7500,0,0.0000,0,0.0000
408,2,26946302.0000,0,0.0000,0,0.0000
409,7,453736926.8571,0,0.0000,0,0.0000
411,2,21448568.0000,0,0.0000,0,0.0000
412,4,198436535.7500,0,0.0000,0,0.0000
413,3,14857587.0000,0,0.0000,0,0.0000
415,1,15287396.0000,0,0.0000,0,0.0000
416,3,286891319.0000,0,0.0000,0,0.0000
418,3,26996545.0000,0,0.0000,0,0.0000
419,5,253633802.0000,0,0.0000,0,0.0000
420,1,25164815.0000,0,0.0000,0,0.0000
421,2,241246719.0000,0,0.0000,0,0.0000
422,4,242697487.0000,0,0.0000,0,0.0000
423,0,0.0000,10,14455343.7000,0,0.0000
424,4,136801940.2500,0,0.0000,0,0.0000
425,6,122740130.1667,0,0.0000,0,0.0000
426,5,162073468.8000,0,0.0000,0,0.0000
427,5,134996937.4000,0,0.0000,0,0.0000
428,3,28328663.0000,0,0.0000,0,0.0000
429,1,26281368.0000,0,0.0000,0,0.0000
430,8,247589797.7500,0,0.0000,0,0.0000
431,4,724329974.0000,0,0.0000,0,0.0000
432,2,38216718.5000,0,0.0000,0,0.0000
433,7,207347715.8571,0,0.0000,0,0.0000
434,3,23184358.0000,0,0.0000,0,0.0000
435,3,369518298.0000,0,0.0000,0,0.0000
436,4,520562279.2500,0,0.0000,0,0.0000
437,1,26427552.0000,0,0.0000,0,0.0000
438,4,356477083.5000,0,0.0000,0,0.0000
439,1,47233749.0000,0,0.0000,0,0.0000
440,4,64332044.2500,0,0.0000,0,0.0000
441,3,314769913.6667,0,0.0000,0,0.0000
442,2,44461015.5000,0,0.0000,0,0.0000
443,3,83446076.3333,0,0.0000,0,0.0000
444,3,442842361.3333,0,0.0000,0,0.0000
445,4,165849375.0000,0,0.0000,0,0.0000
446,2,53968515.5000,0,0.0000,0,0.0000
447,2,17307109.0000,0,0.0000,0,0.0000
449,7,299650052.1429,0,0.0000,0,0.0000
