rows_range,queries_with_project_columns,project_col_time,queries_with_all_star,all_star_time,queries_with_table_star,avg_table_star_time
601,8,399348177.0000,0,0.0000,0,0.0000
603,4,240022721.2500,0,0.0000,0,0.0000
604,4,217755363.0000,0,0.0000,0,0.0000
605,3,284539566.0000,0,0.0000,0,0.0000
606,5,318659718.6000,0,0.0000,0,0.0000
609,7,262850602.4286,0,0.0000,0,0.0000
612,6,402094262.5000,0,0.0000,0,0.0000
613,3,289405625.3333,0,0.0000,0,0.0000
614,1,35717604.0000,0,0.0000,0,0.0000
616,5,281175094.0000,0,0.0000,0,0.0000
618,3,311694236.3333,0,0.0000,0,0.0000
620,1,155409687.0000,0,0.0000,0,0.0000
621,5,387699479.4000,0,0.0000,0,0.0000
622,5,600918082.6000,0,0.0000,0,0.0000
624,3,339478819.3333,0,0.0000,0,0.0000
626,3,714670068.6667,0,0.0000,0,0.0000
627,3,555100104.0000,0,0.0000,0,0.0000
630,2,117325625.0000,0,0.0000,0,0.0000
632,3,473603611.0000,0,0.0000,0,0.0000
635,3,316503367.3333,0,0.0000,0,0.0000
636,2,338480598.5000,0,0.0000,0,0.0000
637,1,25113593.0000,0,0.0000,0,0.0000
638,4,227680195.5000,0,0.0000,0,0.0000
639,1,28611666.0000,0,0.0000,0,0.0000
640,1,179357135.0000,0,0.0000,0,0.0000
641,3,391770208.0000,0,0.0000,0,0.0000
642,1,30428177.0000,0,0.0000,0,0.0000
643,4,385138411.7500,0,0.0000,0,0.0000
644,3,375001163.0000,0,0.0000,0,0.0000
646,1,230088854.0000,0,0.0000,0,0.0000
649,1,279823490.0000,0,0.0000,0,0.0000
651,1,181234166.0000,0,0.0000,0,0.0000
652,1,32821041.0000,0,0.0000,0,0.0000
653,1,168901595.0000,0,0.0000,0,0.0000
662,1,57341339.0000,0,0.0000,0,0.0000
729,1,28770105.0000,0,0.0000,0,0.0000
758,1,31666615.0000,0,0.0000,0,0.0000
779,1,70192968.0000,0,0.0000,0,0.0000
800,1,33233472.0000,0,0.0000,0,0.0000
850,2,253985885.5000,0,0.0000,0,0.0000
851,1,62314062.0000,0,0.0000,0,0.0000
853,1,36279792.0000,0,0.0000,0,0.0000
873,1,38002916.0000,0,0.0000,0,0.0000
879,1,53595781.0000,0,0.0000,0,0.0000
888,1,253243854.0000,0,0.0000,0,0.0000
889,1,32273438.0000,0,0.0000,0,0.0000
933,1,46930417.0000,0,0.0000,0,0.0000
949,1,43916563.0000,0,0.0000,0,0.0000
972,1,45677188.0000,0,0.0000,0,0.0000
975,1,48039271.0000,0,0.0000,0,0.0000
988,1,76636198.0000,0,0.0000,0,0.0000
1023,1,44434843.0000,0,0.0000,0,0.0000
1315,1,64377970.0000,0,0.0000,0,0.0000
1361,0,0.0000,1,276824323.0000,0,0.0000
1446,1,91469167.0000,0,0.0000,0,0.0000
1705,1,113162291.0000,0,0.0000,0,0.0000
1706,1,99543073.0000,0,0.0000,0,0.0000
1809,1,153698489.0000,0,0.0000,0,0.0000
1812,1,122298594.0000,0,0.0000,0,0.0000
1825,1,188891458.0000,0,0.0000,0,0.0000
1834,1,118308918.0000,0,0.0000,0,0.0000
1855,1,143749947.0000,0,0.0000,0,0.0000
1955,3,87722378.6667,0,0.0000,0,0.0000
2086,3,103520798.6667,0,0.0000,0,0.0000
2092,3,103735833.6667,0,0.0000,0,0.0000
2099,3,127146527.3333,0,0.0000,0,0.0000
2107,3,106862708.3333,0,0.0000,0,0.0000
2128,3,107723731.6667,0,0.0000,0,0.0000
